College,Code
Central Christian College of Kansas,190800
Cloud County Community College,190900
Coffeyville Community College,191000
Colby Community College,191100
Cowley County Community College,190200
Dodge City Community College,191300
Emporia State University,192700
Fort Hays State University,191500
Friends University,191800
Fort Scott Community College,191600
Garden City Community College,191900
Haskell Indian Nations University,1043800
Highland Community College,192100
Hutchinson Community College,192300
Johnson County Community College,824400
Kansas City Kansas Community College,192500
University of Kansas,194800
Newman University,193900
Kansas State University,192800
Kansas Wesleyan University,192900
Labette Community College,193000
McPherson College,193300
MidAmerica Nazarene University,703200
Neosho County Community College,193600
Ottawa University-Ottawa,193700
Pittsburg State University,192600
Pratt Community College,193800
University of Saint Mary,194300
Seward County Community College,822800
Southwestern College,194000
Sterling College,194500
Tabor College,194600
Washburn University,194900
Wichita State University-Campus of Applied Sciences and Technology,549800
Wichita State University,195000
Wichita Technical Institute,1050300
Alice Lloyd College,195100
Asbury University,195200
Ashland Community and Technical College,199000
Bellarmine University,195400
Berea College,195500
Southcentral Kentucky Community and Technical College,527100
Brescia University,195800
Campbellsville University,195900
Bluegrass Community and Technical College,524400
Centre College,196100
Galen College of Nursing-Louisville,3083700
University of the Cumberlands,196200
Eastern Kentucky University,196300
Elizabethtown Community and Technical College,199100
Georgetown College,196400
Hazard Community and Technical College,696200
Henderson Community College,199300
Hopkinsville Community College,199400
Jefferson Community and Technical College,696100
Kentucky State University,196800
Kentucky Wesleyan College,196900
University of Kentucky,198900
Kentucky Christian University,196500
Lindsey Wilson College,197200
University of Louisville,199900
Madisonville Community College,901000
Maysville Community and Technical College,696000
Midway University,197500
Morehead State University,197600
Murray State University,197700
Gateway Community and Technical College,527300
Northern Kentucky University,927500
West Kentucky Community and Technical College,197900
University of Pikeville,198000
Big Sandy Community and Technical College,199600
Somerset Community College,199700
Southeast Kentucky Community & Technical College,199800
The Southern Baptist Theological Seminary,198200
Spalding University,196000
Sullivan University,461900
Thomas More University,200100
Transylvania University,198700
Union College,198800
Western Kentucky University,200200
Central Louisiana Technical Community College,548900
Bossier Parish Community College,2055400
Centenary College of Louisiana,200300
Delgado Community College,462500
Dillard University,200400
Nunez Community College,2166100
Grambling State University,200600
ITI Technical College,2166200
Louisiana State University Health Sciences Center-New Orleans,201400
Louisiana State University-Alexandria,201100
Louisiana State University and Agricultural & Mechanical College,201000
Louisiana State University-Eunice,201200
Louisiana State University-Shreveport,201300
Louisiana College,200700
Louisiana Tech University,200800
Loyola University New Orleans,201600
McNeese State University,201700
University of New Orleans,201500
New Orleans Baptist Theological Seminary,201900
Nicholls State University,200500
University of Louisiana at Monroe,202000
Northwest Louisiana Technical Community College,997500
Northwestern State University of Louisiana,202100
University of Holy Cross,202300
Franciscan Missionaries of Our Lady University,3106200
Aveda Arts & Sciences Institute-Covington,2600900
Fletcher Technical Community College,576100
SOWELA Technical Community College,546700
Southeastern Louisiana University,202400
Southern University and A & M College,202500
Southern University at New Orleans,202600
Southern University at Shreveport,768600
University of Louisiana at Lafayette,203100
Northshore Technical Community College,675600
Tulane University of Louisiana,202900
Xavier University of Louisiana,203200
Bates College,203600
Bowdoin College,203800
Central Maine Community College,527600
Colby College,203900
Eastern Maine Community College,527700
Kennebec Valley Community College,982600
University of Maine at Augusta,676000
University of Maine at Farmington,204000
University of Maine at Fort Kent,204100
University of Maine,205300
Maine Maritime Academy,204400
University of Maine at Presque Isle,203300
University of New England,205000
Northern Maine Community College,576000
Saint Joseph's College of Maine,205100
Southern Maine Community College,552500
University of Southern Maine,205400
Thomas College,205200
Unity College,685800
Allegany College of Maryland,205700
Anne Arundel Community College,205800
Baltimore City Community College,206100
University of Baltimore,210200
Bowie State University,206200
Cecil College,830800
College of Southern Maryland,206400
Chesapeake College,465000
Washington Adventist University,206700
Coppin State University,206800
North American Trade Schools,2545400
