College,Code
Virginia Peninsula Community College,687100
Tidewater Community College,371200
University of Virginia's College at Wise,374700
Virginia Highlands Community College,709900
Virginia Polytechnic Institute and State University,375400
Virginia Western Community College,376000
Virginia Commonwealth University,373500
University of Virginia-Main Campus,374500
Virginia Military Institute,375300
Virginia State University,376400
Virginia Union University,376600
Virginia Wesleyan University,376700
Washington and Lee University,376800
Wytheville Community College,376100
Bellevue College,376900
Big Bend Community College,377000
Central Washington University,377100
Centralia College,377200
City University of Seattle,1302200
Clark College,377300
Clover Park Technical College,575200
Columbia Basin College,377400
Eastern Washington University,377500
Edmonds College,500100
Everett Community College,377600
The Evergreen State College,815500
Pierce College District,500000
Gonzaga University,377800
Grays Harbor College,377900
Green River College,378000
Heritage University,377700
Highline College,378100
Bates Technical College,530600
Lake Washington Institute of Technology,537300
Lower Columbia College,378200
North Seattle College,970400
Northwest University,378300
Olympic College,378400
Perry Technical Institute,938700
Pacific Lutheran University,378500
Peninsula College,378600
University of Puget Sound,379700
Renton Technical College,1043400
Saint Martin's University,379400
South Seattle College,970600
Seattle Central College,378700
Seattle Pacific University,378800
Seattle University,379000
Shoreline Community College,379100
Skagit Valley College,379200
South Puget Sound Community College,537200
Spokane Community College,379300
Spokane Falls Community College,954400
Tacoma Community College,379600
Walla Walla Community College,500600
Walla Walla University,379900
Washington State University,380000
University of Washington-Seattle Campus,379800
Wenatchee Valley College,380100
Western Washington University,380200
Whatcom Community College,1036400
Whitman College,380300
Whitworth University,380400
Yakima Valley College,380500
Alderson Broaddus University,380600
Bethany College,380800
Bluefield State College,380900
University of Charleston,381800
Concord University,381000
Davis & Elkins College,381100
Fairmont State University,381200
Glenville State University,381300
Marshall University,381500
West Virginia University at Parkersburg,382800
Salem University,382000
Shepherd University,382200
Southern West Virginia Community and Technical College,381600
West Virginia State University,382600
West Liberty University,382300
West Virginia Wesleyan College,383000
West Virginia Junior College-Morgantown,500700
West Virginia Northern Community College,905400
West Virginia University,382700
Wheeling University,383100
Alverno College,383200
Madison Area Technical College,400700
Beloit College,383500
Blackhawk Technical College,539000
Cardinal Stritch University,383700
Carroll University,383800
Carthage College,383900
Concordia University-Wisconsin,384200
Edgewood College,384800
Fox Valley Technical College,974400
Gateway Technical College,538900
Lakeland University,385400
Lakeshore Technical College,919400
Lawrence University,385600
Maranatha Baptist University,2317200
Marian University,386100
Marquette University,386300
Mid-State Technical College,538000
Milwaukee Area Technical College,386600
Milwaukee Institute of Art & Design,2077100
Milwaukee School of Engineering,386800
Moraine Park Technical College,925600
Mount Mary University,386900
Nicolet Area Technical College,538400
Northcentral Technical College,538700
Northeast Wisconsin Technical College,530100
Northland College,387500
Ripon College,388400
Saint Norbert College,389200
Southwest Wisconsin Technical College,766900
Viterbo University,391100
Chippewa Valley Technical College,530400
Waukesha County Technical College,529400
Western Technical College,384000
University of Wisconsin-Whitewater,392600
Northwood Technical College,1182400
University of Wisconsin-Eau Claire,391700
University of Wisconsin-Green Bay,389900
University of Wisconsin-La Crosse,391900
Wisconsin Lutheran College,2136600
University of Wisconsin-Oshkosh,392000
University of Wisconsin-Parkside,501500
Herzing University-Madison,962100
University of Wisconsin-Stout,391500
University of Wisconsin-Superior,392500
University of Wisconsin-Madison,389500
University of Wisconsin-Milwaukee,389600
University of Wisconsin-Platteville,392100
University of Wisconsin-River Falls,392300
University of Wisconsin-Stevens Point,392400
Casper College,392800
Central Wyoming College,728900
Eastern Wyoming College,392900
Laramie County Community College,925900
Northwest College,393100
Northern Wyoming Community College District,393000
Western Wyoming Community College,393300
WyoTech,915700
University of Wyoming,393200
American Samoa Community College,1001000
Guam Community College,1536100
University of Guam,393500
Northern Marianas College,3033000
Universidad Adventista de las Antillas,501900
Atlantic University College,2505400
Universidad Central de Bayamon,502200
Columbia Central University-Caguas,890200
Albizu University-San Juan,1072400
Caribbean University-Bayamon,1252500
Pontifical Catholic University of Puerto Rico-Ponce,393600
Colegio Universitario de San Juan,1056700
Universidad Ana G. Mendez-Cupey Campus,2587500
Inter American University of Puerto Rico-San German,4254200
Inter American University of Puerto Rico-Aguadilla,393900
Inter American University of Puerto Rico-Arecibo,502600
Inter American University of Puerto Rico-Barranquitas,502700
Inter American University of Puerto Rico-Metro,394000
Inter American University of Puerto Rico-Ponce,502900
Inter American University of Puerto Rico-Fajardo,2282800
Inter American University of Puerto Rico-Guayama,2282700
Inter American University of Puerto Rico-Bayamon,502800
Liceo de Arte y Tecnologia,2195800
NUC University,2260600
University of Puerto Rico-Aguadilla,1212300
University of Puerto Rico-Arecibo,722800
University of Puerto Rico-Bayamon,1097500
University of Puerto Rico-Carolina,3016000
University of Puerto Rico-Cayey,720600
University of Puerto Rico-Humacao,394300
University of Puerto Rico-Utuado,1092200
University of Puerto Rico-Mayaguez,394400
University of Puerto Rico at Ponce,965200
University of Puerto Rico-Rio Piedras,710800
Universidad Ana G. Mendez-Carolina Campus,394100
Universidad del Sagrado Corazon,393700
Universidad Politecnica de Puerto Rico,2100000
Universidad Ana G. Mendez-Gurabo Campus,1171900
College of Micronesia-FSM,1034300
Palau Community College,1100900
University of the Virgin Islands,394600
Stanford University,130500
Purdue University-Main Campus,182500
EDP University of Puerto Rico Inc-San Juan,2165100
Georgia Piedmont Technical College,562200
Warren County Community College,2503900
Mid-America Christian University,694200
Francis Tuttle Technology Center,2222700
Central Technology Center,996400
Palo Alto College,2341300
Athens Technical College,560000
Beckfield College-Florence,2491100
Sussex County Community College,2568800
Collin County Community College District,2361400
Owensboro Community and Technical College,3034500
Moore Norman Technology Center,1227200
Tennessee College of Applied Technology Nashville,535900
ECPI University,1019800
Red River Technology Center,531200
Southern Union State Community College,104000
Platt College-Los Angeles,3062700
Douglas J Aveda Institute,2588200
St Charles Community College,2530600
University of Massachusetts Global,4161800
New College of Florida,3957400
Conservatory of Recording Arts and Sciences,3034400
University of Advancing Technology,2559000
Paradise Valley Community College,2623600
Chandler-Gilbert Community College,3072200
Canadian Valley Technology Center,996500
Pennsylvania College of Technology,339500
Suffolk County Community College,287800
Las Positas College,3035700
Ogeechee Technical College,3030000
Southern Technical College,2278800
California State University-San Marcos,3011300
NorthWest Arkansas Community College,3063300
Hodges University,3037500
Southeastern Technical College,3066500
Erwin Technical College,559400
Downey Adult School,563800
All-State Career-Baltimore,3493300
Kiamichi Technology Center-McAlester,920400
College of the Marshall Islands,3022400
Vista College-Online,2572800
Valley College-Martinsburg,2609400
National Aviation Academy of Tampa Bay,3035900
Northwest Indian College,2180000
Provo College,2360800
Hacienda La Puente Adult Education,565500
Hawaii Community College,525800
Estrella Mountain Community College,3156300
Heartland Community College,3083800
Everglades University,3108500
Seminar L'moros Bais Yaakov,2556700
The College of Health Care Professions-Northwest,3128100
UEI College-Gardena,3969600
Copper Mountain Community College,3542400
UEI College-Fresno,3113300
Santiago Canyon College,3695700
Southern California Institute of Technology,3113600
Summit College,3108100
Wabash Valley College,177900
Coconino Community College,3100400
ASA College,3095500
Carroll Community College,3100700
Florida National University-Main Campus,2547600
South Texas College,3103400
California State University-Monterey Bay,3260300
Academy for Nursing and Health Occupations,3346300
Capella University,3267300
Mech-Tech College,3025500
Pennsylvania Highlands Community College,3180400
Indian Capital Technology Center-Muskogee,1005300
Mid-America Technology Center,1153700
Northwest Vista College,3372300
Oconee Fall Line Technical College,3155500
York County Community College,3122900
Arkansas State University-Mountain Home,4254400
Columbia Gorge Community College,4151900
Arizona College of Nursing-Tempe,3115000
Advantage Technical College,3104400
Southeastern College-West Palm Beach,3123900
Klamath Community College,3428300
Colegio de Cinematografia Artes y Television,3157600
Institute of Technology,3067500
Career Networks Institute,3242300
Carolinas College of Health Sciences,3104200
Western Governors University,3339400
Florida Gulf Coast University,3255300
South Louisiana Community College,3956300
Community College of Baltimore County,206300
Blue Cliff College-Metairie,3294300
River Parishes Community College,3789400
Los Angeles Film School,4037300
Baton Rouge Community College,3730300
Midwest Technical Institute-Illinois,3368300
The College of Health Care Professions-Austin,3426300
Stratford University,2541200
Cascadia College,3483500
CBD College,3250300
Community Care College,3367400
Aviation Institute of Maintenance-Atlanta,3523300
Arkansas State University-Newport,4203400
Atenas College,3544300
Texas Barber College,2568100
Triad Education,3639300
Ultimate Medical Academy,3549300
Concorde Career College-Grand Prairie,3542300
Lamar Institute of Technology,3627300
Aviation Institute of Maintenance-Dallas,3573300
Nevada State College,4114300
California State University-Channel Islands,3980300
Pennsylvania College of Health Sciences,986300
St Louis College of Health Careers-Fenton,2340500
Grantham University,4122300
Tohono O'odham Community College,3784400
Southwest Institute of Healing Arts,3593300
University of Antelope Valley,3427500
South Florida Institute of Technology,3661400
West Coast University-Los Angeles,3698300
DigiPen Institute of Technology,3724300
Pierpont Community and Technical College,4038500
American College of Healthcare Sciences,4194400
Folsom Lake College,3871300
Auguste Escoffier School of Culinary Arts-Austin,3727600
Escuela Hotelera de San Juan,3751300
Nightingale College,3838300
Mountwest Community and Technical College,4041400
American InterContinental University,2113600
University of California-Merced,4127100
Neumont College of Computer Science,1009800
Roseman University of Health Sciences,4065300
Northwest Career College,3838500
Ave Maria University,3941300
Career Care Institute,3797400
Evergreen Beauty and Barber College-Everett,3917300
Southern Technical College,3903500
Stanbridge University,3889300
Universal Career School,3856300
Uta Mesivta of Kiryas Joel,3802300
Harrisburg University of Science and Technology,3948300
Blue Ridge Community and Technical College,3957300
AmeriTech College-Draper,2270800
New River Community and Technical College,3960300
Georgia Gwinnett College,4142900
American Career College-Ontario,3971300
Asher College,4057300
Mountainland Technical College,3413300
West Hills College-Lemoore,4111300
American Public University System,3819300
Columbia Southern University,4121500
Aveda Institute-South Florida,4119400
Aveda Institute-Tallahassee,4134800
Center for Allied Health Education,1161700
MyComputerCareer.edu-Columbus,4124500
Southwest University at El Paso,4131700
Dixie Technical College,4121700
Chamberlain University-Illinois,638500
Laurus College,4141400
Auguste Escoffier School of Culinary Arts-Boulder,3776300
Aspen University,4080300
Denver College of Nursing,4148300
Cambridge College of Healthcare & Technology,4083400
Celebrity School of Beauty,4145900
College of Western Idaho,4211800
Jersey College,4134100
Woodland Community College,4143800
Studio Academy of Beauty,4152900
Health And Style Institute,4120300
Midwestern Career College,4139000
Unitek College,4169700
Gurnick Academy of Medical Arts,4169800
Texas A&M University-San Antonio,4248500
Moreno Valley College,4173500
Norco College,4176100
American Sentinel College of Nursing and Health Sciences,4127700
National Paralegal College,4157400
Northeast Technology Center,2052700
New York Film Academy,4118800
Institute of Medical Careers,4155100
Meridian Institute of Surgical Assisting,4165000
Advanced Training Institute,4171000
Los Angeles Pacific University,4278800
CUNY Stella and Charles Guttman Community College,4210100
American Medical Academy,4192100
Be'er Yaakov Talmudic Seminary,4192800
Rio Grande Valley College,4193000
FVI School of Nursing and Technology,4206300
Colorado State University-Global Campus,4208700
Advanced Career Institute,4208900
MyComputerCareer.edu-Raleigh,4206500
Augusta University,157900
Middle Georgia State University,158100
DeVry University-Illinois,1072700
University of North Georgia,158500
South Georgia State College,159200
Florida Polytechnic University,4263400
Texas A&M University-Central Texas,4229500
Central Georgia Technical College,576300
Louisiana Delta Community College,4130100
California Technical Academy,4221900
Ana G. Mendez University,4240400
Philadelphia Technician Training,4221300
High Desert Medical College,4228100
University of Phoenix-Arizona,2098800
University of North Texas at Dallas,4242100
BridgeValley Community & Technical College,4038600
Georgia Military College,157100
Coastal Pines Technical College,551100
Kennesaw State University,157700
Milligan University,351100
Southern Regional Technical College,561500
Fortis College-Cuyahoga Falls,941200
Texas State Technical College,363400
Husson University,204300
Arclabs,4222000
Martinsburg College,4242900
Sonoran Desert Institute,4244900
Northeast Lakeview College,4263600
Teachers College of San Joaquin,4224800
Tulsa Technology Center,531100
Clovis Community College,4253400
Purdue University Global,458600
HCI College,4182600
Westcliff University,4249600
Purdue University Northwest,182700
Contra Costa Medical Career College,4274900
University of Arkansas System eVersity,4280200
The Pennsylvania State University,332900
